"","business_id","business_name","business_address","business_city","business_state","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","inspection_type","violation_id","violation_description","risk_category","riskCatScore"
"13",1641,"MARTHA & BROS. COFFEE CO","1551 Church St","San Francisco","CA","94131",37.745974,-122.426856,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.426856', 'latitude': '37.745974'}",14155641166,"1641_20160212","2016-02-12T00:00:00",85,"Routine - Unscheduled","1641_20160212_103142","Unclean nonfood contact surfaces","Low Risk",1
"21",1641,"MARTHA & BROS. COFFEE CO","1551 Church St","San Francisco","CA","94131",37.745974,-122.426856,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.426856', 'latitude': '37.745974'}",14155641166,"1641_20160212","2016-02-12T00:00:00",85,"Routine - Unscheduled","1641_20160212_103136","Unsanitary employee garments hair or nails","Low Risk",1
"24",1641,"MARTHA & BROS. COFFEE CO","1551 Church St","San Francisco","CA","94131",37.745974,-122.426856,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.426856', 'latitude': '37.745974'}",14155641166,"1641_20160212","2016-02-12T00:00:00",85,"Routine - Unscheduled","1641_20160212_103116","Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk",2
"27",1641,"MARTHA & BROS. COFFEE CO","1551 Church St","San Francisco","CA","94131",37.745974,-122.426856,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.426856', 'latitude': '37.745974'}",14155641166,"1641_20160212","2016-02-12T00:00:00",85,"Routine - Unscheduled","1641_20160212_103109","Unclean or unsanitary food contact surfaces","High Risk",3
"29",1249,"KABABAYAN FAST FOOD","2706 MISSION St","San Francisco","CA","94110",37.753691,-122.418657,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418657', 'latitude': '37.753691'}",14155929635,"1249_20160216","2016-02-16T00:00:00",83,"Routine - Unscheduled","1249_20160216_103103","High risk food holding temperature","High Risk",3
"30",13427,"Extreme Pizza","3911 Alemany Bl.","San Francisco","CA","94132",37.711185,-122.46779,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.46779', 'latitude': '37.711185'}",14150999800,"13427_20160216","2016-02-16T00:00:00",96,"Routine - Unscheduled","13427_20160216_103154","Unclean or degraded floors walls or ceilings","Low Risk",1
"34",1249,"KABABAYAN FAST FOOD","2706 MISSION St","San Francisco","CA","94110",37.753691,-122.418657,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418657', 'latitude': '37.753691'}",14155929635,"1249_20160216","2016-02-16T00:00:00",83,"Routine - Unscheduled","1249_20160216_103141","Improper food labeling or menu misrepresentation","Low Risk",1
"35",1249,"KABABAYAN FAST FOOD","2706 MISSION St","San Francisco","CA","94110",37.753691,-122.418657,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418657', 'latitude': '37.753691'}",14155929635,"1249_20160216","2016-02-16T00:00:00",83,"Routine - Unscheduled","1249_20160216_103157","Food safety certificate or food handler card not available","Low Risk",1
"43",1249,"KABABAYAN FAST FOOD","2706 MISSION St","San Francisco","CA","94110",37.753691,-122.418657,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.418657', 'latitude': '37.753691'}",14155929635,"1249_20160216","2016-02-16T00:00:00",83,"Routine - Unscheduled","1249_20160216_103149","Wiping cloths not clean or properly stored or inadequate sanitizer","Low Risk",1
"49",13427,"Extreme Pizza","3911 Alemany Bl.","San Francisco","CA","94132",37.711185,-122.46779,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'longitude': '-122.46779', 'latitude': '37.711185'}",14150999800,"13427_20160216","2016-02-16T00:00:00",96,"Routine - Unscheduled","13427_20160216_103139","Improper food storage","Low Risk",1
